"","node_id","node_box_x_min","node_box_x_max","node_box_y_min","node_box_y_max"
"312","78220000170221",493884.440186884,494128.360288544,4943675.65871382,4943906.74091566
"313","78220000170231",493755.000241248,493935.000241464,4943528.9409139,4943817.05853703
"314","78220000170241",493565.472053999,493764.528344882,4943367.6494224,4943782.35002893
"315","78220000170251",493382.442927037,493587.557452848,4943279.33876104,4943706.66069039
"316","78220000170261",493215.051869723,493394.948486515,4943202.63041859,4943605.36903295
"317","78220000170271",493015.951953596,493234.048411392,4943094.81591522,4943549.18353631
"318","78220000170281",492824.343809081,493035.656542493,4943039.94120096,4943449.77238579
"319","78220000170291",492645.000158582,492825.000158879,4942967.73485382,4943376.26459791
"320","78220000170301",492464.604830202,492645.39546349,4942895.88627008,4943306.11318173
"321","78220000170311",492284.137085757,492465.86314707,4942861.03656221,4943226.96288975
"322","78220000170351",491504.694363928,491685.305564433,4942691.49017308,4942998.50927887
"323","78220000170361",491293.607653021,491506.392136318,4942576.47455355,4943172.66760443
"324","78220000170371",491138.251556917,491301.748061811,4942815.8332464,4943067.36633147
"325","78220000170381",490934.999881623,491144.999882153,4942878.60183981,4943141.39746092
"326","78220000170391",490724.761371664,490935.238589976,4942884.94005742,4943184.77352951
"327","78220000170401",490544.775102864,490725.224918287,4942915.09800811,4943160.90144396
"328","78220000170411",490333.057381542,490546.942816493,4942816.07770875,4943227.92159258
"329","78220000170421",490155.399234782,490334.601108534,4942791.65022519,4943108.34922656
"330","78220000170431",489973.827755701,490156.172586529,4942719.07365003,4943044.92580174
"331","78220000170441",489794.137079574,489975.863141134,4942655.92548284,4942964.07396922
"332","78220000170451",489584.628393489,489795.371847669,4942605.92346921,4942898.07583218
"333","78220000170461",489405.291359244,489584.708780141,4942538.57288173,4942899.42657043
"334","78220000170471",489194.10881611,489405.891168104,4942521.71393636,4942889.71393636
"335","78220000170481",488984.167614668,489195.832407789,4942448.41969747,4942932.15103245
"336","78220000170491",488804.756198869,488985.243685763,4942518.31038763,4942883.68906421
"337","78220000170501",488594.999985483,488804.999986327,4942529.99965064,4942889.99965064
"338","78220000170511",488413.609028745,488596.391042975,4942523.29614145,4942884.70331069
"339","78220000170521",488204.405858835,488415.594093897,4942496.57107919,4942856.57107919
"340","78220000170531",487994.339111391,488205.661141497,4942499.32791425,4942810.95710144
"341","78220000170541",487814.775062796,487995.224878551,4942529.09561094,4942768.90384103
"342","78220000170551",487604.999981164,487814.999982164,4942589.99965063,4942709.99965063
"343","78220000170561",487424.461243321,487605.538615484,4942584.51259349,4942727.48685824
"344","78220000170571",487197.831039693,487412.168843835,4942612.62659944,4942768.37252761
"345","78220000180011",487004.137058616,487185.863120539,4942532.96254737,4942791.03690475
"346","78220000180021",486823.827742435,487006.172573669,4942478.67003177,4942709.32942014
"347","78220000180031",486645.644904306,486824.355617817,4942386.74639835,4942591.25305278
"348","78220000180051",486279.824492088,486606.175838538,4942125.97515279,4942304.02461005
"349","78220000180061",486213.148573209,486584.85132985,4941943.29091088,4942126.70893763
